"Composed name","River basin","Identifier","Names","genus","subfamily","family","suborder","order","subclass","class","subphylum","phylum","kingdom","superkingdom","Cluster"
"LGC_SF1209 Hyphessobrycon santae","SF","1209","Hyphessobrycon santae","Hyphessobrycon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
"LGC_SF1210 Hyphessobrycon santae","SF","1210","Hyphessobrycon santae","Hyphessobrycon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
"LGC_SF1211 Hyphessobrycon santae","SF","1211","Hyphessobrycon santae","Hyphessobrycon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
"LGC_SF1215 Hoplosternum littorale","SF","1215","Hoplosternum littorale","Hoplosternum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29
"LGC_SF1217 Australoheros facetus","SF","1217","Australoheros facetus","Australoheros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"LGC_SF1218 Australoheros facetus","SF","1218","Australoheros facetus","Australoheros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"LGC_SF1229 Pygocentrus piraya","SF","1229","Pygocentrus piraya","Pygocentrus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54
"LGC_SF1230 Serrasalmus brandtii","SF","1230","Serrasalmus brandtii","Serrasalmus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54
"LGC_SF1234 Hoplias malabaricus","SF","1234","Hoplias malabaricus","Hoplias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52
"LGC_SF1239 Astyanax lacustris","SF","1239","Astyanax lacustris","Astyanax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40
"LGC_SF1242 Australoheros facetus","SF","1242","Australoheros facetus","Australoheros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"LGC_SF1243 Trachelyopterus galeatus","SF","1243","Trachelyopterus galeatus","Trachelyopterus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130
"LGC_SF1245 Parodon hilarii","SF","1245","Parodon hilarii","Parodon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75
"LGC_SF1248 Gymnotus carapo","SF","1248","Gymnotus carapo","Gymnotus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88
"LGC_SF1264 Crenicichla lepidota","SF","1264","Crenicichla lepidota","Crenicichla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
"LGC_SF1274 Hoplosternum littorale","SF","1274","Hoplosternum littorale","Hoplosternum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29
"LGC_SF1280 Pimelodus maculatus","SF","1280","Pimelodus maculatus","Pimelodus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121
"LGC_SF1281 Prochilodus costatus","SF","1281","Prochilodus costatus","Prochilodus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86
"LGC_SF1284 Steindachnerina elegans","SF","1284","Steindachnerina elegans","Steindachnerina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85
"LGC_SF1287 Pimelodella vittata","SF","1287","Pimelodella vittata","Pimelodella","subfamily of Heptapteridae","Heptapteridae","Siluroidei","Siluriformes","Neopterygii","Actinopteri","Craniata","Chordata","Metazoa","Eukaryota",113
